GOROOT=/opt/go #gosetup
GOPATH=/home/pvv/GOPKG #gosetup
/opt/go/bin/go test -c -test.timeout=0 -o /tmp/___TestDataLog_in_test_apple_fdb_tests test-apple-fdb/tests #gosetup
/opt/go/bin/go tool test2json -t /tmp/___TestDataLog_in_test_apple_fdb_tests -test.v -test.run ^TestDataLog$ -test.timeout=0 #gosetup
=== RUN   TestDataLog
2019/03/15 17:39:03 FdbTest.go:30: [MINUTE] All 0 correct 0 In minute  0
2019/03/15 17:40:03 FdbTest.go:30: [MINUTE] All 103298 correct 103244 In minute  103298
2019/03/15 17:41:03 FdbTest.go:30: [MINUTE] All 204847 correct 204768 In minute  101549
2019/03/15 17:42:03 FdbTest.go:30: [MINUTE] All 321940 correct 321826 In minute  117093
2019/03/15 17:43:03 FdbTest.go:30: [MINUTE] All 426772 correct 426601 In minute  104832
2019/03/15 17:44:03 FdbTest.go:30: [MINUTE] All 521938 correct 521680 In minute  95166
2019/03/15 17:45:03 FdbTest.go:30: [MINUTE] All 648129 correct 647794 In minute  126191
2019/03/15 17:46:03 FdbTest.go:30: [MINUTE] All 759744 correct 759385 In minute  111615
2019/03/15 17:47:03 FdbTest.go:30: [MINUTE] All 844339 correct 843951 In minute  84595
2019/03/15 17:48:03 FdbTest.go:30: [MINUTE] All 904711 correct 904272 In minute  60372
2019/03/15 17:49:03 FdbTest.go:30: [MINUTE] All 966588 correct 966118 In minute  61877
2019/03/15 17:50:03 FdbTest.go:30: [MINUTE] All 1038979 correct 1038432 In minute  72391
2019/03/15 17:51:03 FdbTest.go:30: [MINUTE] All 1116181 correct 1115623 In minute  77202
2019/03/15 17:52:03 FdbTest.go:30: [MINUTE] All 1203279 correct 1202686 In minute  87098
2019/03/15 17:53:03 FdbTest.go:30: [MINUTE] All 1291429 correct 1290786 In minute  88150
2019/03/15 17:54:03 FdbTest.go:30: [MINUTE] All 1378158 correct 1377455 In minute  86729
2019/03/15 17:55:03 FdbTest.go:30: [MINUTE] All 1464836 correct 1464080 In minute  86678
2019/03/15 17:56:03 FdbTest.go:30: [MINUTE] All 1551993 correct 1551181 In minute  87157
2019/03/15 17:57:03 FdbTest.go:30: [MINUTE] All 1636912 correct 1636032 In minute  84919
2019/03/15 17:58:03 FdbTest.go:30: [MINUTE] All 1722338 correct 1721405 In minute  85425
2019/03/15 17:59:03 FdbTest.go:30: [MINUTE] All 1809360 correct 1808352 In minute  87022
2019/03/15 18:00:03 FdbTest.go:30: [MINUTE] All 1894995 correct 1893926 In minute  85635
2019/03/15 18:01:03 FdbTest.go:30: [MINUTE] All 1971378 correct 1970228 In minute  76383
2019/03/15 18:02:03 FdbTest.go:30: [MINUTE] All 2056327 correct 2055104 In minute  84949
2019/03/15 18:03:03 FdbTest.go:30: [MINUTE] All 2141751 correct 2140473 In minute  85424
2019/03/15 18:04:03 FdbTest.go:30: [MINUTE] All 2227097 correct 2225741 In minute  85346
2019/03/15 18:05:03 FdbTest.go:30: [MINUTE] All 2311795 correct 2310361 In minute  84698
2019/03/15 18:06:03 FdbTest.go:30: [MINUTE] All 2396582 correct 2395104 In minute  84787
2019/03/15 18:07:03 FdbTest.go:30: [MINUTE] All 2480754 correct 2479214 In minute  84172
2019/03/15 18:08:03 FdbTest.go:30: [MINUTE] All 2566282 correct 2564676 In minute  85528
2019/03/15 18:09:03 FdbTest.go:30: [MINUTE] All 2647235 correct 2645555 In minute  80953
2019/03/15 18:10:03 FdbTest.go:30: [MINUTE] All 2731924 correct 2730176 In minute  84689
2019/03/15 18:11:03 FdbTest.go:30: [MINUTE] All 2817027 correct 2815192 In minute  85103
2019/03/15 18:12:03 FdbTest.go:30: [MINUTE] All 2904799 correct 2902891 In minute  87772
2019/03/15 18:13:03 FdbTest.go:30: [MINUTE] All 2991764 correct 2989809 In minute  86965
2019/03/15 18:14:03 FdbTest.go:30: [MINUTE] All 3076112 correct 3074063 In minute  84348
2019/03/15 18:15:03 FdbTest.go:30: [MINUTE] All 3160910 correct 3158803 In minute  84798
2019/03/15 18:16:03 FdbTest.go:30: [MINUTE] All 3245623 correct 3243460 In minute  84713
2019/03/15 18:17:03 FdbTest.go:30: [MINUTE] All 3331479 correct 3329284 In minute  85856
